"ID","PASS","NAME","INSDATE","USEYN"
"¤²¤¸¤§¤²¤¸¤§","123456","È«±æµ¿","18/09/06","Y"
"test101","12345","È«±æµ¿","18/09/06","Y"
"esd12","123123","È«±æµ¿","18/08/09","y"
"tryrtyrt","12341","È«±æµ¿","18/09/06","Y"
"erwr¤²¤²","12345","È«±æµ¿","18/09/06","Y"
"¤²¤¸¤§¤²¤²¤²","qweqwe","¤²¤¸¤§","18/09/06","Y"
"q","qweqwe","qwe","18/09/06","Y"
"¤·¤·¤·¤·¤§¤§","qweqwe","¤²¤¸¤§","18/09/06","Y"
"asdasd","123123","È«±æµ¿","18/09/06","Y"
"fsdfsaae","qweqwe","qq","18/09/06","Y"
"kms2","123123","123","18/09/06","Y"
"¤±¤¤¤·¤»","123123","È«±æµ¿","18/09/06","Y"
"test1055","qweqwe","È«±æµ¿","18/09/06","Y"
"asda","123123","È«±æµ¿","18/09/06","Y"
"test1011111111","12345","È«±æµ¿","18/09/05","Y"
"jjjjj","12345","È«±æµ¿","18/09/06","Y"
"kms","12345","±è¹Î¼ö","18/09/06","Y"
"kms3","123123","123","18/09/06","Y"
"kms6","123123","±è","18/09/06","Y"
"eee","1111111111","111","a","Y"
"aa","aaaaaaaaaa","aa","18/09/07","Y"
"a2","1","1","18/09/07","Y"
"test2","12345","123","18/09/07","Y"
"a4","12345","1","18/09/07","Y"
"a5","12345","1","18/09/07","Y"
"qqqq","11111","11111","18/09/07","Y"
"qqqqqq1","11111","11111","18/09/07","Y"
"123123","aaaaaa","asdasd","18/09/07","Y"
"q12","11111","11111","18/09/10","Y"
"dalmoon19","12345","´Þ¹®","18/09/17","Y"
"dalmoon21","12345","´Þ¹®","18/09/17","Y"
"dalmoon22","12345","´Þ¹®","18/09/17","Y"
"olaf89","rlffk89","ÀÌ¼ºÈ¯","18/09/18","Y"
"test_id","12345","777","18/10/11","Y"
"test123123","123123","123123","18/10/16","Y"
"test123123123123","123123","123123","18/10/16","Y"
"testaaa","123123","123123","18/10/16","Y"
"testqwesde","12345","¹Ú°øÀç","18/11/02","Y"
"test1234","12345","¹Ú°øÀç","18/11/02","Y"
"test123werfd","12345","¹Ú°øÀç","18/11/02","Y"
"testqwesd","12345","¹Ú°øÀç","18/11/02","Y"
"testasdc","12345","¹Ú°øÀç","18/11/02","Y"
"dasvfsad","12345","¹Ú°øÀç","18/11/02","Y"
"sadvcxcv","12345","¹Ú°øÀç","18/11/02","Y"
"asdvvdf123","12345","¹Ú°øÀç","18/11/02","Y"
"123213","123123","¹Ú°øÀç","18/11/02","Y"
"aciskvsd","123123","¹Ú°øÀç","18/11/02","Y"
"qweqwesdfd","123123","¹Ú°øÀç","18/11/02","Y"
"qwesaasdasd","123123","¹Ú°øÀç","18/11/02","Y"
"asdfaaaasdfadf","12345","asdfddddddddd","18/11/16","Y"
"asdfasdfasdf","12345","dsafasdfasdfasdf","18/11/16","Y"
"asdfasdfadsfadsf","12345","asdfasdasaaasadf","18/11/16","Y"
"dasfaeee23432","12345","asdfasdfasdfasdf","18/11/16","Y"
"sfdgadsfasdfa","12345","asdfasdfasdfasd","18/11/16","Y"
"asdfasdf112344","12345","dsafsdfasdfsd","18/11/16","Y"
"asdfasdfasd","12345","asdfasdfasdfasdfa","18/11/16","Y"
"song","12345","test","18/11/29","Y"
"ababab","ababab","ababab","18/11/28","y"
"1q2w3e","1q2w3e","1q2w3e","18/11/28","y"
"test1","12345","¹Ú¿ë±Ô","18/08/09","Y"
"test08224","test08224","¾ÈÄ¡¹ü","18/08/22","Y"
"tests","111111","È«±æµ¿","18/08/09","y"
"test08223","test08223","¾ÈÄ¡¹ü","18/08/22","Y"
"tes213","123123","È«±æµ¿","18/08/09","y"
"s2","123123","È«±æµ¿","18/08/09","y"
"¤§¤§¤§¤§¤§¤§","11111","È«±æµ¿","18/09/06","Y"
"promsk11","11111","±è¹Î¼ö","18/09/06","Y"
"¤²¤¸¤§¤²¤¸","qweqw","¤¸¤¸¤¸","18/09/06","Y"
"test1011","12345","È«±æµ¿","18/09/06","Y"
"test10112","123412","1111","18/09/06","Y"
"kms7","123123","123","18/09/06","Y"
"kms4","123123","123","18/09/06","Y"
"kms5","123123","123","18/09/06","Y"
"kms8","123123","±è¹Î¼ö","18/09/06","Y"
"kms10","123123","±è¹Î¼ö","18/09/06","Y"
"kms11","123123","123123","18/09/06","Y"
"kms12","12345","±è¹Î¼ö","18/09/07","Y"
"kms13","123123","123123","18/09/07","Y"
"kms14","123123","±è¹Î¼ö","18/09/07","Y"
"dalmoon1","12345","´Þ¹®","18/09/14","Y"
"dalmoon2","12345","´Þ¹®","18/09/14","Y"
"dalmoon3","12345","´Þ¹®","18/09/14","Y"
"dalmoon4","12345","´Þ¹®","18/09/14","Y"
"dalmoon5","12345","ÀÌ´Þ¹®","18/09/17","Y"
"test1011111","12345","È«±æµ¿","18/09/05","Y"
"eeeeeeq","12345","È«±æµ¿","18/09/06","Y"
"dalmoon9","12345","´Þ¹®","18/09/17","Y"
"dalmoon10","12345","´Þ¹®","18/09/17","Y"
"dalmoon11","12345","´Þ¹®","18/09/17","Y"
"dalmoon12","12345","´Þ¹®","18/09/17","Y"
"dalmoon15","12345","´Þ¹®","18/09/17","Y"
"dalmoon16","12345","´Þ¹®","18/09/17","Y"
"dalmoon17","12345","´Þ¹®","18/09/17","Y"
"test11","test11","Å×½ºÆ®1","18/09/18","Y"
"test55","test55","test55","18/09/20","Y"
"test66","test66","test66","18/09/20","Y"
"zzzz","zzzzz","zzz","18/10/11","Y"
"test123123123","123123","123123","18/10/16","Y"
"test555","123123","123123","18/10/16","Y"
"ddddddddddddddd","12345","aaaaaaaaaaaaa","18/11/15","Y"
"awerweararaewrerwer","12345","asdf111111","18/11/15","Y"
"2018","12345","1115","18/11/15","Y"
"asdfasdfeeeee","12345","adsfasdsdaasdfasfd","18/11/16","Y"
"asdfasdfads","12345","dsfasdfasdfasdfa","18/11/16","Y"
"asdfasdfasdfa","12345","asdfasdfasdf","18/11/16","Y"
"asdfasdfasdfa3333","12345","asdfasdfasdfasdf","18/11/16","Y"
"asd33221111","12345","33321123","18/11/16","Y"
"asdw32123","12345","seewr222","18/11/16","Y"
"33222edddd","12345","d2341123","18/11/16","Y"
"3i2nindfas","12345","dsfawe33322","18/11/16","Y"
"e22331111","12345","asd232411","18/11/16","Y"
"32423234432","12345","sssee3333","18/11/19","Y"
"12355w2","12345","asdf23112","18/11/19","Y"
"ygun2ga79","111111","ÁÖ¹ÎÃ¶","18/11/20","Y"
"a","b","c","18/11/28","y"
"abcde","abcde","abcd","18/11/29","y"
"abc","ababc","abab","18/11/28","y"
"mins0501","qwerasdf","ms","18/11/29","y"
"asdf1020","asdf1020!","asdf´Ù","19/01/16","Y"
"asdf1020!","asdf1020!","asdf´Ù","19/01/16","Y"
"ÀÚ¾çµ¿¶ô½ºÅ¸","wkdidehd","ÀÚ¾çµ¿¶ô½ºÅ¸","19/01/16","Y"
"»óµµµ¿¿Õ°¨ÀÚ","tkdehehd","¿Õ°¨ÀÚ","19/01/16","Y"
"test3","12345","¹Ú¿ë±Ô","18/08/09","Y"
"ggggii","12345","È«±æµ¿","18/09/06","Y"
"gggggg","12345","È«±æµ¿","18/09/06","Y"
"hhhhhh","12345","È«±æµ¿","18/09/06","Y"
"tes1","111111","È«±æµ¿","18/08/09","y"
"te11","111111","È«±æµ¿","18/08/09","y"
"e2","111111","È«±æµ¿","18/08/09","y"
"te22","111111","È«±æµ¿","18/08/09","y"
"ds2","111111","È«±æµ¿","18/08/09","y"
"ggggggg","12345","È«±æµ¿","18/09/06","Y"
"fffff","12345","È«±æµ¿","18/09/06","Y"
"fffffd","12345","È«±æµ¿","18/09/06","Y"
"qasd","qqqqq","qqq","18/09/06","Y"
"aqaz","123123","123","18/09/06","Y"
"te¤²","qweqwe","¤²¤¸¤§","18/09/06","Y"
"qww","qweqwe","qwe","18/09/06","Y"
"asdas","qweqwe","qwe","18/09/06","Y"
"zxc","zxczxc","zxc","18/09/06","Y"
"¤·¤·¤·¤·","qweqwe","¤²¤¸¤§","18/09/06","Y"
"¤·¤·¤·¤·¤§","qweqwe","¤²¤¸¤§","18/09/06","Y"
"È«±æµ¿","123123","È«±æµ¿","18/09/06","Y"
"aasd","123123","È«±æµ¿","18/09/06","Y"
"qqqqq","111111","123","18/09/07","Y"
"aaa","1111111111","aa","18/09/07","Y"
"aaaa","1111111111","222","18/09/07","Y"
"111","1111","222","18/09/07","Y"
"a1","1","123","18/09/07","Y"
"a3","1","1","18/09/07","Y"
"qqqqqq","11111","11111","18/09/07","Y"
"a6","11111","a","18/09/07","Y"
"aa1","11111","1","18/09/07","Y"
"q002","11111","11111","18/09/10","Y"
"q11","11111","11111","18/09/10","Y"
"qwe","11111","11111","18/09/10","Y"
"qwe1","11111","11111","18/09/10","Y"
"qwe22","11111","11111","18/09/10","Y"
"qwe21","11111","11111","18/09/10","Y"
"qq","11111","11111","18/09/10","Y"
"wwww","11111","11111","18/09/10","Y"
"dalmoon6","12345","´Þ¹®","18/09/17","Y"
"dalmoon13","12345","´Þ¹®","18/09/17","Y"
"dalmoon14","12345","´Þ¹®","18/09/17","Y"
"dalmoon20","12345","´Þ¹®","18/09/17","Y"
"test22","test22","Å×½ºÆ®2","18/09/19","Y"
"test33","test33","test33","18/09/19","Y"
"test44","test44","test44","18/09/20","Y"
"examtest","12346","??¢¥?¢´???¡©","18/11/06","Y"
"112","12345","??¢¥?¢´???¡©","18/11/06","Y"
"¤»¤»¤»","12345","ÀÌÁß¼·¼·","18/11/06","Y"
"test1122","12345","ÀÌÁß¼·","18/11/06","Y"
"zxca65s","123123","123123","20181106","Y"
"zxcqwe","asdasd","asdasd","20181107","Y"
"11asdasd","asdasd","asdasdz","20181107","Y"
"ididididi","asdasd","qweqwe","20181107","Y"
"asdfgh","asdasd","123asd","18/11/07","Y"
"qweoka","123123","12312312","18/11/07","Y"
"asdazzz","123123","asdqwe","18/11/07","Y"
"aqweqw","123123","dd","18/11/07","Y"
"asw23323322","12345","ds2323444","18/11/16","Y"
"33dfffee33","12345","fee2234234","18/11/16","Y"
"12sdfasdf","12345","asd3321","18/11/19","Y"
"kmoionww","12345","asdawwwws333","18/11/19","Y"
"powas00","123123","333","18/11/21","Y"
"³ë·®Áø»ç½Ã¹Ì","shfid","»ç½Ã¹Ì","19/01/16","Y"
"karas","12345","´©±¸","18/11/29","Y"
"abcd","abcde","abcd","18/11/29","y"
"acac","vavava","ggbb","18/11/29","y"
